x_pos, x_pwm, x_speed
261, 3.9729059, 691.085
261, 3.9907305, 691.085
261, 4.0085554, 691.085
261, 4.0260324, 691.085
261, 4.043857, 691.085
261, 4.061334, 691.085
261, 4.078811, 691.085
261, 4.096288, 691.085
261, 4.1137652, 691.085
261, 4.13159, 691.085
261, 4.1487226, 691.085
261, 4.1661997, 691.085
261, 4.1840243, 691.085
261, 4.2015014, 691.085
261, 4.219326, 691.085
261, 4.236803, 691.085
261, 4.25428, 691.085
261, 4.271757, 691.085
261, 4.28889, 691.085
261, 4.306367, 691.085
261, 4.3241916, 691.085
261, 4.342016, 691.085
261, 4.3594933, 691.085
261, 4.3769703, 691.085
261, 4.394795, 691.085
261, 4.412272, 691.085
261, 4.429749, 691.085
261, 4.447226, 691.085
261, 4.4650507, 691.085
261, 4.4828753, 691.085
261, 4.5007, 691.085
261, 4.5178328, 691.085
261, 4.5356574, 691.085
261, 4.553482, 691.085
261, 4.570959, 691.085
261, 4.588436, 691.085
261, 4.605913, 691.085
261, 4.62339, 691.085
261, 4.640867, 691.085
261, 4.6583443, 691.085
261, 4.676169, 691.085
261, 4.6939936, 691.085
261, 4.711818, 691.085
261, 4.729643, 691.085
261, 4.7474675, 691.085
261, 4.765292, 691.085
261, 4.782769, 691.085
261, 4.8002462, 691.085
261, 4.818071, 691.085
261, 4.835548, 691.085
261, 4.8526807, 691.085
261, 4.8705053, 691.085
261, 4.88833, 691.085
261, 4.905807, 691.085
261, 4.923284, 691.085
261, 4.940761, 691.085
261, 4.958238, 691.085
261, 4.975715, 691.085
261, 4.993192, 691.085
261, 5.010669, 691.085
261, 5.0281463, 691.085
261, 5.045971, 691.085
261, 5.063448, 691.085
261, 5.0812726, 691.085
261, 5.0990973, 691.085
261, 5.116922, 691.085
261, 5.134399, 691.085
261, 5.151876, 691.085
261, 5.169353, 691.085
261, 5.18683, 691.085
261, 5.203963, 691.085
261, 5.22144, 691.085
261, 5.238917, 691.085
261, 5.256394, 691.085
261, 5.273871, 691.085
261, 5.291348, 691.085
261, 5.308825, 691.085
261, 5.326302, 691.085
261, 5.343779, 691.085
261, 5.361256, 691.085
261, 5.379081, 691.085
261, 5.396558, 691.085
261, 5.414035, 691.085
261, 5.431512, 691.085
261, 5.448989, 691.085
261, 5.466466, 691.085
261, 5.483943, 691.085
261, 5.50142, 691.085
261, 5.518897, 691.085
261, 5.5367217, 691.085
261, 5.5545464, 691.085
261, 5.5720234, 691.085
261, 5.589848, 691.085
261, 5.607325, 691.085
261, 5.624458, 691.085
261, 5.641935, 691.085
261, 5.659412, 691.085
261, 5.676889, 691.085
261, 5.6947136, 691.085
261, 5.7125382, 691.085
261, 5.730363, 691.085
261, 5.7481875, 691.085
261, 5.766012, 691.085
261, 5.783837, 691.085
261, 5.801314, 691.085
261, 5.818791, 691.085
261, 5.8366156, 691.085
261, 5.85444, 691.085
261, 5.8719172, 691.085
261, 5.8893943, 691.085
261, 5.907219, 691.085
261, 5.924696, 691.085
261, 5.942173, 691.085
261, 5.95965, 691.085
261, 5.976783, 691.085
261, 5.99426, 691.085
261, 6.011737, 691.085
261, 6.029214, 691.085
261, 6.046691, 691.085
261, 6.064168, 691.085
261, 6.081645, 691.085
261, 6.099122, 691.085
261, 6.116599, 691.085
261, 6.134076, 691.085
261, 6.151553, 691.085
261, 6.16903, 691.085
261, 6.186507, 691.085
261, 6.2039843, 691.085
261, 6.2214613, 691.085
261, 6.239286, 691.085
261, 6.2571106, 691.085
261, 6.2749352, 691.085
261, 6.29276, 691.085
261, 6.310237, 691.085
261, 6.3280616, 691.085
261, 6.345886, 691.085
261, 6.3633633, 691.085
261, 6.381188, 691.085
261, 6.3990126, 691.085
261, 6.416837, 691.085
261, 6.4343143, 691.085
261, 6.4517913, 691.085
261, 6.469616, 691.085
261, 6.487093, 691.085
261, 6.50457, 691.085
261, 6.521703, 691.085
261, 6.53918, 691.085
261, 6.556657, 691.085
261, 6.5744815, 691.085
261, 6.592306, 691.085
261, 6.609783, 691.085
261, 6.62726, 691.085
261, 6.6447372, 691.085
261, 6.662562, 691.085
261, 6.6803865, 691.085
261, 6.698211, 691.085
261, 6.716036, 691.085
261, 6.7338605, 691.085
261, 6.751685, 691.085
261, 6.769162, 691.085
261, 6.786639, 691.085
261, 6.8041162, 691.085
261, 6.8215933, 691.085
261, 6.839418, 691.085
261, 6.856895, 691.085
261, 6.8747196, 691.085
261, 6.8925443, 691.085
261, 6.910369, 691.085
261, 6.927846, 691.085
261, 6.945323, 691.085
261, 6.9628, 691.085
261, 6.979933, 691.085
261, 6.9977574, 691.085
261, 7.015582, 691.085
261, 7.033059, 691.085
261, 7.050536, 691.085
261, 7.068013, 691.085
261, 7.085838, 691.085
261, 7.1036625, 691.085
261, 7.121487, 691.085
261, 7.138964, 691.085
261, 7.156441, 691.085
